step,mean_reward,steps_per_second,elapsed_sec
1000,-0.9834838344913363,1683.566268658274,0.59
2000,-1.1016473029581924,1656.6974467221175,1.21
3000,-0.9761677367122039,1663.6310883169126,1.8
4000,-1.0301821749497995,1668.4281216766367,2.4
5000,-1.042247981005427,1667.008867574131,3.0
