step,mean_reward,steps_per_second,elapsed_sec
1000,-1.0329385853595567,1680.5341419399508,0.6
2000,-1.0916402288868055,1656.2695961901452,1.21
3000,-1.0718598783909916,1650.6870870711716,1.82
4000,-1.0821797382079368,1654.3903940291643,2.42
5000,-1.0485191659659996,1654.918412990665,3.02
