step,mean_reward,steps_per_second,elapsed_sec,planner_on,planner_interval,context_dim
1000,-1.2219723661276305,1685.932089274768,0.59,0,0,0
2000,-1.1026416329147202,1668.956241817972,1.2,0,0,0
3000,-1.1917992186302713,1659.7220252839309,1.81,0,0,0
