step,mean_reward,steps_per_second,elapsed_sec,planner_on,planner_interval,context_dim
1000,-1.1614990205882954,846.9867912754971,1.18,1,32,4
2000,-1.0076237195891389,1101.468373617569,1.82,1,32,4
3000,-1.081141052434546,1229.6211083143216,2.44,1,32,4
