step,mean_reward,steps_per_second,elapsed_sec,planner_on,planner_interval,context_dim
1000,-0.967391801710432,1663.9131178178532,0.6,1,32,4
2000,-1.0450064299622694,1643.4368772417338,1.22,1,32,4
3000,-1.0524940528781397,1644.0366051889623,1.82,1,32,4
