step,mean_reward,steps_per_second,elapsed_sec,planner_on,planner_interval,context_dim,actors,amp,compile
1000,-1.0449756751831738,789.8600915297505,1.27,0,0,0,2,0,0
2000,-0.9852893953466361,1032.5405167079607,1.94,0,0,0,2,0,0
