step,mean_reward,steps_per_second,elapsed_sec,planner_on,planner_interval,context_dim
1000,-0.9387301310048739,1682.1854473029632,0.59,1,32,4
2000,-0.9413338459831,1655.664833093528,1.21,1,32,4
3000,-0.9821869341440242,1655.2447011540885,1.81,1,32,4
