step,mean_reward,steps_per_second,elapsed_sec,planner_on,planner_interval,context_dim,actors
1000,-1.0920117806736842,1599.541757255669,0.63,0,0,0,8
2000,-1.2154946209811521,1594.9740284112202,1.25,0,0,0,8
