step,mean_reward,steps_per_second,elapsed_sec
1000,-1.1621474677641916,878.1782451191777,1.14
2000,-1.0758402101645492,1111.6644882466699,1.8
3000,-1.090109159158009,1221.3138470471088,2.46
4000,-1.0943557664260248,1288.917259675955,3.1
5000,-1.1231601292300788,1330.8600718244281,3.76
